Date,Open,High,Low,Close,Adj Close,Volume
2024-04-29,379.250000,384.000000,374.000000,377.750000,377.750000,1080192
2024-04-30,377.799988,379.500000,371.000000,372.399994,372.399994,1183679
2024-05-02,372.549988,386.000000,366.549988,372.200012,372.200012,2043727
2024-05-03,373.000000,375.500000,368.049988,369.899994,369.899994,983852
2024-05-06,351.399994,365.000000,351.399994,351.399994,351.399994,4669633
2024-05-07,351.350006,351.350006,333.850006,333.850006,333.850006,5412856
2024-05-08,331.000000,332.000000,317.149994,317.149994,317.149994,7390132
2024-05-09,313.649994,333.000000,310.000000,333.000000,333.000000,9033327
2024-05-10,339.000000,349.649994,335.100006,349.649994,349.649994,5692885
2024-05-13,358.049988,359.600006,335.049988,343.500000,343.500000,2666342
2024-05-14,342.700012,343.799988,333.049988,340.049988,340.049988,1471994
2024-05-15,340.149994,347.799988,331.649994,343.250000,343.250000,2003944
2024-05-16,344.500000,350.000000,339.000000,342.549988,342.549988,1136979
2024-05-17,342.549988,347.000000,339.299988,342.250000,342.250000,1159700
2024-05-21,348.000000,361.600006,341.450012,351.700012,351.700012,3172650
2024-05-22,356.000000,369.250000,344.500000,368.850006,368.850006,5231893
2024-05-23,368.000000,368.000000,353.500000,356.250000,356.250000,2589388
2024-05-24,354.000000,354.700012,339.049988,340.950012,340.950012,4362341
2024-05-27,342.000000,357.950012,341.899994,356.700012,356.700012,4685308
2024-05-28,357.950012,363.899994,341.500000,342.350006,342.350006,2420896
2024-05-29,359.450012,359.450012,359.450012,359.450012,359.450012,1458423
2024-05-30,377.399994,377.399994,377.399994,377.399994,377.399994,1656287
2024-05-31,384.950012,396.250000,358.549988,360.750000,360.750000,44068826
2024-06-03,378.750000,378.750000,370.000000,376.200012,376.200012,7685575
2024-06-04,373.000000,373.000000,357.399994,357.399994,357.399994,3491325
2024-06-05,351.250000,354.649994,339.549988,339.850006,339.850006,7404922
2024-06-06,345.000000,350.000000,341.000000,346.649994,346.649994,3037856
2024-06-07,349.000000,381.299988,347.200012,381.299988,381.299988,8096613
2024-06-10,382.000000,414.000000,381.500000,389.049988,389.049988,7714614
2024-06-11,390.549988,393.850006,378.049988,380.549988,380.549988,2837645
2024-06-12,382.100006,416.750000,377.000000,402.500000,402.500000,10281686
2024-06-13,407.000000,439.000000,405.549988,428.049988,428.049988,16454024
2024-06-14,436.049988,440.500000,422.149994,425.049988,425.049988,5490425
2024-06-18,442.000000,442.000000,411.000000,417.000000,417.000000,12825770
2024-06-19,420.000000,422.000000,403.500000,410.250000,410.250000,4054335
2024-06-20,414.000000,419.799988,410.250000,411.500000,411.500000,1905808
2024-06-21,411.500000,414.700012,402.500000,411.149994,411.149994,2535336
2024-06-24,409.700012,417.100006,406.049988,410.700012,410.700012,2290263
2024-06-25,415.000000,424.399994,409.250000,412.799988,412.799988,3221883
2024-06-26,413.000000,414.700012,406.549988,409.350006,409.350006,1504820
2024-06-27,408.000000,411.000000,400.100006,404.299988,404.299988,2060528
2024-06-28,405.000000,411.500000,400.049988,401.750000,401.750000,2162358
2024-07-01,403.000000,423.700012,403.000000,411.850006,411.850006,4061370
2024-07-02,412.049988,423.250000,409.049988,421.049988,421.049988,4087675
2024-07-03,424.000000,425.000000,414.500000,417.549988,417.549988,3892175
2024-07-04,418.100006,430.000000,411.000000,412.450012,412.450012,5411756
2024-07-05,416.549988,442.500000,412.750000,436.549988,436.549988,6630370
2024-07-08,440.200012,479.899994,440.200012,472.350006,472.350006,12698807
2024-07-09,476.000000,476.000000,448.799988,461.649994,461.649994,6693084
2024-07-10,464.750000,474.700012,454.100006,467.149994,467.149994,6211525
2024-07-11,468.049988,491.799988,468.049988,480.250000,480.250000,5700801
2024-07-12,480.000000,482.799988,461.000000,465.950012,465.950012,2441250
2024-07-15,467.000000,476.700012,462.049988,469.649994,469.649994,3318491
2024-07-16,466.000000,471.399994,454.750000,460.299988,460.299988,2530705
2024-07-18,459.000000,464.750000,442.799988,445.299988,445.299988,2699225
2024-07-19,443.000000,471.950012,425.600006,458.750000,458.750000,11709927
2024-07-22,447.950012,462.299988,443.500000,452.450012,452.450012,3225265
2024-07-23,454.649994,464.700012,437.250000,457.250000,457.250000,3009397
2024-07-24,453.000000,467.799988,447.200012,456.299988,456.299988,1818969
2024-07-25,450.000000,464.299988,448.549988,462.799988,462.799988,1919454
2024-07-26,459.000000,509.049988,459.000000,509.049988,509.049988,10481268
2024-07-29,512.750000,518.299988,490.000000,494.049988,494.049988,8506569
2024-07-30,501.000000,512.700012,494.399994,496.899994,496.899994,6991041
2024-07-31,494.000000,507.450012,493.000000,494.250000,494.250000,2553435
2024-08-01,498.549988,520.000000,492.100006,496.850006,496.850006,5509816
2024-08-02,494.850006,542.599976,492.299988,527.000000,527.000000,13602639
2024-08-05,513.849976,516.400024,481.649994,499.399994,499.399994,9396049
2024-08-06,504.000000,522.000000,482.100006,488.100006,488.100006,5688494
2024-08-07,500.000000,511.000000,493.399994,505.850006,505.850006,3479206
2024-08-08,508.000000,535.000000,501.750000,508.500000,508.500000,10467494
2024-08-09,520.049988,522.299988,509.000000,510.850006,510.850006,4096869
2024-08-12,507.549988,527.000000,499.450012,514.599976,514.599976,5609274
